Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231)
8.851491096766226e-18,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951594006,0.20128658794362503,0.16769875764413805,4.936495237124847e-60,2.7169623864904858e-40,1.6706778564256165e-23,1.8525723113557497e-44,4.238974661556756e-31,1.6409217446944825e-32,1.3250867056693314e-13,1.5886469195908056e-65,1.325086401748362e-13,3.892286181680553e-43,1.27391490413435e-41,6.301862062649378e-47,5.174628899658673e-63,6.91727565512981e-32,1.982071765093554e-40,5.159425691440451e-24,1.353760350423885e-12,8.70740090640397e-62,2.125864582322829e-42,5.789308524895653e-13,7.735288627797803e-13,7.368017428385643e-18,1.3537455834949438e-12,1.756957654408605e-22,6.105713440573781e-24,1.4892868786252248e-30,1.0600845587336438e-24,5.219694331106402e-35,4.3794282092106697e-44,5.204966064499748e-49,2.785187642663803e-50
1.180199146391517e-17,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951458675,0.20128658794293663,0.16769875764400913,2.229075673513527e-59,7.0786903933684015e-40,3.096185478741789e-23,4.710244628717345e-44,9.236490564137993e-31,3.472389575671598e-32,1.7667828892367836e-13,6.109612418775224e-65,1.766782370783674e-13,1.0131589577512084e-42,3.4276383932585687e-41,1.6022755404077358e-46,1.567594552180324e-62,1.459080492327397e-31,6.773218010115492e-40,8.801375498281196e-24,1.8050173661287998e-12,3.931829082226066e-61,6.85859230143965e-42,7.719077107712469e-13,1.0313721084705622e-12,1.2568890759955362e-17,1.8049921754339817e-12,3.705904528258322e-22,1.2879697630868304e-23,3.252621346340422e-30,1.8084369771063088e-24,1.1010104195398206e-34,1.1134881505498274e-43,2.201905875636947e-48,1.1783954976166877e-49
1.7702992198213058e-17,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795118801,0.20128658794155985,0.16769875764375128,2.5776121992091166e-58,2.6547794497157398e-39,7.261091549419653e-23,1.6561859560813576e-43,2.6810592913726374e-30,9.552316804718811e-32,2.6501753850740744e-13,4.6498877025586156e-64,2.650174311684112e-13,3.718141153899134e-42,1.3864388438166264e-40,5.633818660750725e-46,7.1979435380855805e-62,3.985332325573725e-31,4.164577550113968e-39,1.8222132919311675e-23,2.707534794515093e-12,4.546606796028459e-60,3.7757740463201283e-41,1.1578610819645434e-12,1.5470585998472548e-12,2.6022007840734802e-17,2.7074826401649453e-12,1.0121844471955252e-21,3.518289560630091e-23,9.48664128628636e-30,3.744358109625452e-24,3.0073276153084876e-34,3.915173892685429e-43,1.9833761681066977e-47,1.0617708109755502e-48
2.3603992932510947e-17,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795091734,0.20128658794018306,0.16769875764349343,1.1598400971252474e-57,6.911787382215007e-39,1.3726067684342334e-22,4.158151088513372e-43,5.8631565884207684e-30,2.0115992684579502e-31,3.533568082571259e-13,1.7557939737929276e-63,3.5335662570185285e-13,9.641396918796664e-42,3.755626202749399e-40,1.4144710181985552e-45,2.1636643880286354e-61,8.338903614054852e-31,1.398041892315775e-38,3.099107548485743e-23,3.6100575455462664e-12,2.0458224353234444e-59,1.2118397580279168e-40,1.54381391200705e-12,2.062745091216314e-12,4.4256153587336455e-17,3.609968844346879e-12,2.1178040043324246e-21,7.362262959608548e-23,2.0829912830160915e-29,6.368542951367418e-24,6.292582766063169e-34,9.829741053048261e-43,7.823310113885542e-47,4.18902494361467e-48
2.9504993666808836e-17,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667950646675,0.20128658793880627,0.16769875764323558,4.131637410420536e-57,1.5112391477206904e-38,2.312349688375502e-22,8.865619643919498e-43,1.1000044226615652e-29,3.6862544906531055e-31,4.4169609961316725e-13,5.370609821394415e-63,4.416958207103667e-13,2.1080640509865334e-41,8.437247111526146e-40,3.0158025530007257e-45,5.4294991221776086e-61,1.5181138190950618e-30,3.7781307789292867e-38,4.7347357012880297e-23,4.512585999522514e-12,7.287725720309717e-59,3.1667637020587277e-40,1.929766162246069e-12,2.5784315825771954e-12,6.761266829966723e-17,4.51245048367633e-12,3.85533571185883e-21,1.3404243636719812e-22,3.9240657193626233e-29,9.730274811679166e-24,1.1455874906377986e-33,2.0958044509768846e-42,2.466643138825897e-46,1.321070529056272e-47
4.1306995135404614e-17,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795010534,0.20128658793605267,0.16769875764271988,5.929500887807771e-56,5.709940567355235e-38,5.407199435451862e-22,3.297502353588959e-42,3.0097870929530266e-29,9.890819166214284e-31,6.183747485007644e-13,4.752658401330978e-62,6.183742121824724e-13,8.108490507626013e-41,3.2722795366377534e-39,1.1217058719053442e-44,3.118656907512453e-60,4.0086155543770914e-30,2.1183356745945375e-37,9.10472574000186e-23,6.31766037530272e-12,1.0458946848264692e-57,1.7720738104320454e-39,2.7016688869000294e-12,3.609804565273909e-12,1.3001346596301776e-16,6.317399781185874e-12,1.0178892498340458e-20,3.5402144436485947e-22,1.0848413020177806e-28,1.8713514817036923e-23,3.0250258744362115e-33,7.795182570782157e-42,2.0325329059382626e-45,1.0898592109099615e-46
6.491099807259616e-17,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966794902266,0.2012865879305455,0.1676987576416885,1.8741127783116375e-54,3.6501646404486974e-37,1.82376820791515e-21,2.1596001303454676e-41,1.195310141965496e-28,3.9516080105715836e-30,9.717323093554253e-13,9.007206987566462e-61,9.717310009115156e-13,5.35221484475056e-40,2.1051904148434347e-38,7.346278490063769e-44,4.017579848584454e-59,1.5503711484839935e-29,2.210022312516362e-36,2.2212752041249516e-22,9.927878575096374e-12,3.3057159861391128e-56,1.8838487154430377e-38,4.24546727639204e-12,5.672550530567749e-12,3.1717608974577623e-16,9.927242794479614e-12,3.935722066949536e-20,1.3699177945740183e-21,4.401570909096361e-28,4.5668428564025794e-23,1.1700235252437713e-32,5.105207012812918e-41,3.483721338250732e-44,1.8729450485131784e-45
8.851500100978772e-17,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667947939973,0.2012865879250383,0.16769875764065714,1.1982096750241172e-53,1.1978744515375538e-36,4.238761973494067e-21,7.188343057560078e-41,2.992579261694265e-28,1.0067482810404321e-29,1.325090221279352e-12,4.776278483137857e-60,1.3250877973604569e-12,1.764736066867744e-39,6.948693743880793e-38,2.4452481819755992e-43,1.8509541369592063e-58,3.848232286425864e-29,9.526959513760712e-36,4.114983553097634e-22,1.3538189458006877e-11,2.1135018759197257e-55,7.954210430651174e-38,5.789256244751511e-12,7.735296495728683e-12,5.875497490048133e-16,1.3537011636216545e-11,9.766894820626585e-20,3.401728690629153e-21,1.1213875012986415e-27,8.462451010870958e-23,2.9042864841771876e-32,1.6992921048536535e-40,1.8910242855714983e-43,1.0179219160897081e-44
1.3572300688417082e-16,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667945774566,0.20128658791402393,0.1676987576385944,3.081229744005891e-52,6.856257308496843e-36,1.430584229039059e-20,4.3495653434916855e-40,1.0938868320481884e-27,3.875571004256055e-29,2.0318070979805213e-12,7.339687460054533e-59,2.0318014134122424e-12,1.0207838517938292e-38,3.974646964565905e-37,1.479586256087126e-42,2.2490696684800963e-57,1.39820470469645e-28,8.578448918194819e-35,9.650581491605671e-22,2.0759089233264896e-11,5.434929248631327e-54,7.312380629752115e-37,8.876805926954716e-12,1.1860788425651901e-11,1.3777912803969012e-15,2.075632688053695e-11,3.546831795289382e-19,1.2372110689594518e-20,4.26482553465176e-27,1.985767335043478e-22,1.055346830305951e-31,1.028212941292145e-39,2.7763962476605562e-42,1.5018390458414966e-43
2.3013901863293704e-16,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966794144365,0.2012865878919952,0.1676987576344689,1.605579333749883e-50,6.091981975111455e-35,6.726061973730317e-20,4.35995019765918e-39,5.483455120838765e-27,2.164193564569226e-28,3.445245062486524e-12,2.1456958165977924e-57,3.4452287381375268e-12,9.219787328488141e-38,3.496078654007117e-36,1.4831208098133793e-41,5.757484767058654e-56,6.992780077669354e-28,1.315286996605907e-33,2.771432774696665e-21,3.520200108588497e-11,2.8320543083478055e-52,1.1566717705128482e-35,1.505179227753964e-11,2.0111772283903428e-11,3.955824182591807e-15,3.5194067681999324e-11,1.7718487872260354e-18,6.201080280579117e-20,2.3113128052196307e-26,5.709489640613026e-22,5.279289467591871e-31,1.0306585733404892e-38,7.585928167025112e-41,4.147892339311054e-42
