Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232),CHOX(231),C2HOX(246)
1.624031152348221e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951625186,0.11866996602773142,0.022821567692957716,3.7734533197020876e-60,1.4564569865018805e-40,3.463028485420137e-23,1.6996394109985738e-44,9.100045459295907e-31,8.211122398896182e-33,1.4333368968209404e-13,1.2418532779640601e-64,1.4333362937334863e-13,1.533082789147567e-42,6.828950200617566e-42,5.781633956759632e-47,5.364007133825114e-63,3.427979086750168e-32,1.4323339958218366e-39,1.3934731377625227e-24,1.4643600941922368e-12,6.6559308254535e-62,3.5472375051604837e-42,6.262245239132508e-13,1.931390411913307e-13,1.462251535202976e-17,1.4643307869861925e-12,6.397447586799913e-22,2.2239838061874613e-23,3.2236578650500945e-30,2.863379959712791e-25,1.525041949612971e-35,4.017894504739586e-44,9.390294771391799e-49,5.029873927197761e-50,8.489585660074453e-70
2.1653754816686598e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951500253,0.11866996602698678,0.022821567692925527,1.7039652931538308e-59,3.794674980495301e-40,6.803992628298044e-23,4.3302021129121036e-44,1.9828462194885617e-30,1.7421548430905514e-32,1.9111166322148406e-13,4.775910491977028e-64,1.91111560342005e-13,3.990597085513061e-42,1.837453546365133e-41,1.4729974521212627e-46,1.6449202098785772e-62,7.230841368761418e-32,4.894582320338243e-39,2.377101576955797e-24,1.9524867415807982e-12,3.0055957121342114e-61,1.1444860017834054e-41,8.349656512623437e-13,2.5751879435451066e-13,2.4943990904422105e-17,1.95243674676474e-12,1.3493877883660986e-21,4.6916787688529583e-23,7.05391679226166e-30,4.884872721177882e-25,3.216892010500804e-35,1.0236458032376216e-43,3.9724780756390874e-48,2.1283429315044748e-49,5.776628854902602e-69
3.248064140309538e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951250375,0.11866996602549751,0.022821567692861148,1.9705892992470024e-58,1.4232023646419832e-39,1.7184785636049822e-22,1.5292888913883064e-43,5.755552449340541e-30,4.820315814429415e-32,2.86667635842851e-13,3.6348287496283524e-63,2.866674228445206e-13,1.4644853165684752e-41,7.432597981577592e-41,5.202156445976117e-46,7.818171181396613e-62,1.9750856010208134e-31,3.0094118796187587e-38,4.9214867314857636e-24,2.9287467785345284e-12,3.4758893097112965e-60,6.301262731813001e-41,1.2524472205289969e-12,3.862783006796244e-13,5.164231416062635e-17,2.9286432698642696e-12,3.6855082647872136e-21,1.2817395886786126e-22,2.0653816447792583e-29,1.0114592700257442e-24,8.787006801705407e-35,3.615186866489738e-43,3.5782790624921666e-47,1.91822146500556e-48,1.176606321598531e-67
4.3307527989504157e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.412896679510005,0.11866996602400824,0.02282156769279677,8.867428083273466e-58,3.705457700758669e-39,3.4240047848666036e-22,3.854291815472043e-43,1.258667067211643e-29,1.0203307697478728e-31,3.8222364848605223e-13,1.3725066263745915e-62,3.822232862326438e-13,3.7975033815773223e-41,2.013428203920332e-40,1.3111081154172234e-45,2.4006872148709033e-61,4.132771437924013e-31,1.0102420516917018e-37,8.370158428461709e-24,3.905017379670552e-12,1.564110719483335e-59,2.0225278515828234e-40,1.6699277158126253e-12,5.150378070027856e-13,8.782833715947491e-17,3.904841337436785e-12,7.71115122325598e-21,2.682378081284121e-22,4.549742336351814e-29,1.7204109963417285e-24,1.8386682580600966e-34,9.111409004319938e-43,1.4114179494546417e-46,7.569329174389604e-48,6.129279002071596e-67
5.4134414575912936e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795075063,0.11866996602251897,0.02282156769273239,3.158959844019616e-57,8.102123936026138e-39,6.015080819614083e-22,8.250106325056453e-43,2.3614162948885464e-29,1.8794871171474263e-31,4.777797040094474e-13,4.198206675924582e-62,4.777791505696435e-13,8.303115053344703e-41,4.523447212424001e-40,2.806425360598867e-45,6.156043469940557e-61,7.52399135354254e-31,2.7300851289113202e-37,1.2787707441981931e-23,4.881299299978749e-12,5.572036115024926e-59,5.285611155237988e-40,2.0874070604032735e-12,6.437973133238545e-13,1.341791638231872e-16,4.8810303455945504e-12,1.4037549753249042e-20,4.8841849837059025e-22,8.599347163048664e-29,2.628687239665889e-24,3.3474764900092763e-34,1.9502946313305497e-42,4.450119607270159e-46,2.3875455890670793e-47,2.614120389995997e-66
6.496130116232171e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667950500747,0.11866996602102971,0.02282156769266801,9.813260405880708e-57,1.5767373558676428e-38,9.707990510103665e-22,1.5853721278328663e-42,3.9974266338013646e-29,3.1550158029273116e-31,5.733358031939998e-13,1.1190936526471999e-61,5.733350158728227e-13,1.6186469148917116e-40,8.969626142691558e-40,5.392935278312998e-45,1.4065394912088e-60,1.2480353211054703e-30,6.366371893869299e-37,1.8191787422278697e-23,5.8575927462080525e-12,1.7309444902558343e-58,1.207969443733142e-39,2.5048852333365632e-12,7.72556819642793e-13,1.908793264815268e-16,5.857210129348292e-12,2.3282706707373296e-20,8.102861896534668e-22,1.4668676640142596e-28,3.7399900089094415e-24,5.552693884649689e-34,3.7477586630758575e-42,1.2016633155840658e-45,6.450089804765415e-47,9.501788637247698e-66
8.661507433513927e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667950000986,0.11866996601805116,0.022821567692539253,9.755541961660137e-56,4.964528109780448e-38,2.157356429841441e-21,5.0094651297209444e-42,9.487558667155602e-29,7.510471441280825e-31,7.644481324616133e-13,7.30335730562948e-61,7.644467493759686e-13,5.1672811899512845e-40,2.8759879588189327e-39,1.70406227364004e-44,6.856797546184013e-60,2.8903504367628387e-30,2.8024484919999016e-36,3.19576662520175e-23,7.810214197407302e-12,1.7207636270925272e-57,5.3257365394120704e-39,3.3398380664690288e-12,1.0300758322742827e-12,3.3530401631444526e-16,7.80954204163596e-12,5.390937064799592e-20,1.8773093939279326e-21,3.545021071376517e-28,6.571700924011282e-24,1.286016848240985e-33,1.1842159642608366e-41,7.387581508547483e-45,3.9735511226546175e-46,1.2106636555799312e-64
1.2992262068077438e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966794900147,0.11866996601209408,0.022821567692281733,2.285764268234784e-54,2.649120113318323e-37,6.972047490746994e-21,2.808518751949283e-41,3.275850905441219e-28,2.6870464468496373e-30,1.1466733135175779e-12,1.0556597215126858e-59,1.1466702279463694e-12,2.8310192791956334e-39,1.5410390515343617e-38,9.55370216385667e-44,7.71718121726419e-59,9.784660462403277e-30,2.3385160618951822e-35,7.129630177550235e-23,1.1715595070386068e-11,4.0318210983389173e-56,4.529485196436233e-38,5.009729710366322e-12,1.5451138575117607e-12,7.479770113937769e-16,1.1714095472321703e-11,1.8241006353576728e-19,6.3610716799017304e-21,1.2705913923623694e-27,1.4668901870524043e-23,4.353970253051825e-33,6.639186331128993e-41,9.745004195730983e-44,5.266403638062358e-45,4.3274856084106717e-63
2.165377133720446e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966794700235,0.11866996600017991,0.022821567691766693,1.091661101898553e-52,2.2218311127861586e-36,3.1835009049582423e-20,2.6426495594984385e-40,1.5722742673852943e-27,1.415661920443715e-29,1.9111257652933434e-12,2.9038450337497027e-58,1.9111172313402926e-12,2.444640227554179e-38,1.2793156280172255e-37,8.98947815224193e-43,1.8232241746275884e-57,4.648607840871088e-29,3.323599135093962e-34,1.9719374190283812e-22,1.95269087474615e-11,1.9255626105812826e-54,6.679647717691484e-37,8.349456917980442e-12,2.5751899078847058e-12,2.0683552494969276e-15,1.9522760848619607e-11,8.65705337552708e-19,3.0281287192586744e-20,6.556191872266045e-27,4.061637261597212e-23,2.0689804623813826e-32,6.247020740198346e-40,2.4314011603429572e-42,1.3270933577361169e-43,3.794139443764996e-61
3.8976789875458506e-16,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966794300391,0.11866996597635159,0.022821567690736618,8.207764875620712e-51,2.5073348044470493e-35,1.8599912561487729e-19,3.6110447305388403e-39,9.468861924503755e-27,1.0163154865140924e-28,3.440039025612611e-12,1.1854781347136048e-56,3.4400114231463327e-12,2.8166592441717025e-37,1.4241854201516872e-36,1.2283686011513555e-41,7.33888218613786e-56,2.7922414232815236e-28,6.743397456696012e-33,6.378435857818491e-22,3.5151744597088875e-11,1.4477537728991584e-52,1.4089052132897485e-35,1.5028687047562213e-11,4.635342008222428e-12,6.687497426545525e-15,3.5138326075147676e-11,5.188650440791085e-18,1.8263112994249706e-19,4.501040797564238e-26,1.3167677331089431e-22,1.243314903486775e-31,8.536104059897318e-39,9.236691547498465e-41,5.14283078570308e-42,6.211644395932543e-59
