Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),CH2OX(232)
9.346712722258256e-17,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900385199615,0.11866996602799111,0.022821567692039572,1.1111245549815621e-69,6.813445011297152e-41,4.123728089857006e-32,5.194290852767972e-71,1.1405824603512588e-36,6.174470928597591e-40,3.7068316720426857e-34,1.79271454280717e-114,3.028734335929043e-39,2.22846342989366e-73,7.775993319610362e-44,2.0022698144287187e-74,1.1141328613358357e-78,3.8032779804228735e-43,7.545468525302219e-52,8.630455884138484e-45,1.7633538071785318e-16,2.4067506724963214e-75,5.869260442057722e-51,1.9740419728413246e-12,2.029429563309749e-12,3.3473818107368946e-22,1.7633471131394717e-16,2.4189589311342004e-29,4.1240185669238745e-32,3.473395720943807e-40,7.254385929884741e-26,1.1125117416477411e-35,5.333498892497853e-51,2.342274340215466e-56
1.8693433367829777e-16,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900384799232,0.11866996602601688,0.022821567691024856,1.4224124242515572e-67,1.0901476369950353e-39,3.2991501126006983e-31,3.226497677025227e-69,9.125736283270986e-36,9.879677629277717e-39,1.4828115798214045e-33,2.295003967555873e-112,1.0428327701025498e-38,3.5659489755012146e-72,1.244226992007312e-42,9.111856899281148e-73,1.4262213188907716e-76,3.042628872909829e-42,2.4147383544202634e-50,6.90470685284822e-44,3.526943539571095e-16,3.0810200547747753e-73,1.8783918584343142e-49,3.948085594837686e-12,4.058860846694329e-12,1.3390254114691328e-21,3.526916761958629e-16,1.9352840522937261e-28,3.2996161467889404e-31,2.7872440722865372e-39,2.9017605447133487e-25,8.900058873253324e-35,1.7068060491514286e-49,1.4991385699430796e-54
3.738687465897282e-16,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900383998467,0.11866996602206845,0.022821567688995424,1.821126329230196e-65,1.7442232179706142e-38,2.639585377738454e-30,2.034005879049191e-67,7.302300941431456e-35,1.5809134540845864e-37,5.9318820712301295e-33,4.234157712493505e-110,3.834307731255489e-38,5.706813392114791e-71,1.9910434251162833e-41,4.646986682397826e-71,1.8260495868291767e-74,2.4341108145666254e-41,8.954179401585892e-49,5.524317765986986e-43,7.05482630015795e-16,3.944666801428113e-71,6.012305742110244e-48,7.896172766042889e-12,8.117723412577336e-12,5.356678033148195e-21,7.054719178157678e-16,1.5484125751692035e-27,2.6403321139371977e-30,2.2434379445276716e-38,1.1607080717310243e-24,7.119983206959929e-34,5.4623227242549666e-48,1.2679071585924162e-52
7.47737572412589e-16,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900382396936,0.11866996601417157,0.022821567684936563,2.3321614266945137e-63,2.7907133706620097e-37,2.1120915839864732e-29,1.2923184487434883e-65,5.844575937963509e-34,2.5299874751209857e-36,2.3732623187455888e-32,5.436287878434042e-108,1.4665574387311643e-37,9.13503896235292e-70,3.1864650707274622e-40,2.5953246282947937e-69,2.3383893219124816e-72,1.9473000511945215e-40,2.8788050354217923e-47,4.4203398001944876e-42,1.4113405034691313e-15,5.051628287429873e-69,1.9248654335049467e-46,1.5792346817303228e-11,1.6235448540798735e-11,2.1431312971426638e-20,1.4112976454488182e-15,1.239025916992628e-26,2.1132874343251813e-29,1.8165836554269715e-37,4.6428612650749304e-24,5.6958815741988246e-33,1.7482894822927191e-46,8.147357212352726e-51
1.4954752240583108e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900379193873,0.11866996599837781,0.022821567676818838,2.9880324232888662e-61,4.4650011075978546e-36,1.6903500356320721e-28,8.246497855331943e-64,4.680036820047665e-33,4.049661241077356e-35,9.497126909117482e-32,6.967835946528327e-106,5.7338107641908394e-37,1.4629301212613844e-68,5.1008794736878283e-39,1.540226029354323e-67,2.995812750578152e-70,1.5578582851344624e-39,9.221184685050372e-46,3.5376895314231715e-41,2.8241815598396394e-15,6.472367041531134e-67,6.165505580023919e-45,3.158469375522373e-11,3.247089878306307e-11,8.576203745747058e-20,2.8240100540385366e-15,9.916938688980997e-26,1.692264917324788e-28,1.4882199007224896e-36,1.8571678241903726e-23,4.556537299427911e-32,5.5967395447597275e-45,5.217074659110798e-49
2.2432128757040322e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690037599081,0.11866996598258406,0.022821567668701113,1.978117553438555e-60,1.6438381926953467e-35,4.834456189295267e-28,4.620788382679315e-63,1.3901244133051774e-32,1.5442244003585313e-34,2.018738411914019e-31,3.885596635056949e-105,1.2103737420383937e-36,5.536971748194565e-68,1.9450233884832476e-38,8.544715271312893e-67,1.987315938120993e-69,4.4545351093051805e-39,4.077448640098573e-45,1.0117909875581283e-40,4.238147949757419e-15,4.2848084813582774e-66,2.885428446041097e-44,4.737703952854414e-11,4.870634901114896e-11,1.8229835177921048e-19,4.237783391705409e-15,2.836422104891509e-25,4.8415062807847245e-28,4.468237154780585e-36,3.946521470876515e-23,1.3028585033021949e-31,2.627154283663936e-44,2.5892383343817218e-48
2.990950527349754e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900372787747,0.1186699659667903,0.022821567660583388,8.934397330114335e-60,4.1710718738558795e-35,1.0199394878883055e-27,1.686574863620618e-62,3.030715973695672e-32,4.155691833212144e-34,3.444671014019298e-31,2.0118862222432592e-104,2.0578010779586415e-36,1.441909994749748e-67,5.234855359792754e-38,3.0191950097075464e-66,8.833292072628833e-69,9.395974658352092e-39,1.3940052510140252e-44,2.134605818037919e-40,5.65323969737708e-15,1.935288081635592e-65,9.312190990615875e-44,6.316938413726454e-11,6.494179922505636e-11,3.1106439060678427e-19,5.652617634198687e-15,5.984422072734344e-25,1.0217279902743573e-27,9.829464956549677e-36,6.732369042274045e-23,2.7480568622711545e-31,8.190961139953097e-44,1.0955873620499964e-47
4.486425830641197e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900366381622,0.11866996593520278,0.022821567644347937,1.0338257841447737e-58,1.4605224568058924e-34,2.7867384381465377e-27,1.0985580024425948e-61,8.807497664999901e-32,1.681581225273297e-33,7.135004958235728e-31,2.679962014427209e-103,4.247052138179802e-36,5.29648161509907e-67,2.1189359946286244e-37,1.7728176631326398e-65,9.164149248058901e-68,2.566367721397334e-38,8.580743823699509e-44,5.832297515660711e-40,8.486064413110908e-15,2.2393860364749e-64,5.1302200209611216e-43,9.47540706214607e-11,9.741269961959523e-11,6.443125227932881e-19,8.484775922638464e-15,1.635305344691289e-24,2.792995538537818e-27,2.893394414839535e-35,1.3938783423123305e-22,7.505583670167817e-31,4.0372317032855395e-43,9.874074674646177e-47
5.981901133932641e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.12386900359975496,0.11866996590361525,0.022821567628112487,4.653405861355483e-58,3.6523526384661006e-34,5.832584295720492e-27,4.0394762261239065e-61,1.927998197838546e-31,4.556338976595109e-33,1.2140035846239044e-30,1.2304015918507698e-102,7.211536672090339e-36,1.3744583263811092e-66,5.742669636883227e-37,6.270298372018701e-65,3.98974553032118e-67,5.369770917809456e-38,2.882314304611688e-43,1.2206879286243032e-39,1.1323027670830746e-14,1.0079858650313384e-63,1.6472690078352893e-42,1.2633875282300798e-10,1.2988359996199486e-10,1.0962813272219008e-18,1.132083533507819e-14,3.423051373102807e-24,5.8482244449258156e-27,6.401363979710865e-35,2.370668640299068e-22,1.5703813205233556e-30,1.2670987756725812e-42,3.8958964933768104e-46
7.477376437224084e-15,0.04988683199999999,0.8585084662769803,0.0,0.0,0.1238690035356937,0.11866996587202773,0.022821567611877036,1.658241325449875e-57,7.753528446596926e-34,1.0621320945914925e-26,1.1899214480374461e-60,3.6208371209189017e-31,1.0238958913175373e-32,1.8555459274357618e-30,4.566624754717466e-102,1.1007747088116371e-35,3.0075265172116943e-66,1.2907951289030612e-36,1.8048241351650718e-64,1.4071471127537644e-66,9.775600839656214e-38,7.794659580646536e-43,2.222912299833306e-39,1.4164425241879778e-14,3.591971102898969e-63,4.306669751810587e-42,1.5792343043600342e-10,1.62354500248531e-10,1.6756121586233647e-18,1.416107436116478e-14,6.234219412158775e-24,1.0654514671010682e-26,1.2154911539471473e-34,3.621921481374455e-22,2.85875094545249e-30,3.258178999809618e-42,1.2287660513898503e-45
